Endereço,Latitude,Longitude,Região
"Avenida DOUTOR OLAVO GUIMARAES, 253, Vila Arens, Jundiaí",-23.1971918,-46.8745837,"Vila Arens, Jundiaí, São Paulo, Brasil"
"Rua FERNAO DIAS PAES LEME, 683, Vila Aparecida, Jundiaí",-23.178214,-46.8668431,"São Camilo, Jundiaí, São Paulo, Brasil"
"Avenida Das Industrias, S/N, Engordadouro, Jundiaí",-23.1573721,-46.9343319,"Distrito Industrial, Jundiaí, São Paulo, Brasil"
"Rua HISASCHI NAGAOKA, 3595, Jardim São Vicente, Jundiaí",-23.1451635,-46.9157263,"Parque Centenário, Jundiaí, São Paulo, Brasil"
"Avenida BENTO FIGUEREDO, 275, Vila Marlene, Jundiaí",-23.18639,-46.88417,"Vila Municipal, Jundiaí, São Paulo, Brasil"
"Avenida DOUTOR ADILSON RODRIGUES, S/N, JD.DAS SAMAMBAIAS, Jundiaí",-23.18639,-46.88417,"Vila Municipal, Jundiaí, São Paulo, Brasil"
"Rua IOLANDA LATORRE CASCALDI, 40, LOTEAMENTO PARQUE DOS CANARIOS, Itatiba",-23.00583,-46.83889,"Centro, Itatiba, São Paulo, Brasil"
"Avenida ITATIBA, 150, Vila Liberdade, Jundiaí",-23.1772296,-46.8861601,"Vila Rio Branco, Jundiaí, São Paulo, Brasil"
"Rua JORGE ZOLNER, 95, Centro, Jundiaí",-23.18639,-46.88417,"Vila Municipal, Jundiaí, São Paulo, Brasil"
"Rua RETIRO, DO, 925, VILA VIRGINIA, Jundiaí",-23.1865399,-46.8985646,"Anhangabaú, Jundiaí, São Paulo, Brasil"
"Rua DO RETIRO, 2173, VILA VIOTTO, Jundiaí",-23.18639,-46.88417,"Vila Municipal, Jundiaí, São Paulo, Brasil"
"Rua ADEMAR CLEMENTE NUNES, 154, Jacaré, Cabreúva",-23.250621,-47.054118,"Jacaré, Cabreúva, São Paulo, Brasil"
"Avenida PASCHOAL SANTI, 957, Vilarejo, Cabreúva",-23.2704381,-47.0581919,"Villarejo Sopé da Serra, Cabreúva, São Paulo, Brasil"
"Rua ROMEU SECKLER MACHADO, 105, Parque Eloy Chaves, Jundiaí",-23.18639,-46.88417,"Vila Municipal, Jundiaí, São Paulo, Brasil"
"Avenida VEREADOR JOSE DONATO, 1385, Vilarejo, Cabreúva",-23.2661481,-47.0576373,"Villarejo Sopé da Serra, Cabreúva, São Paulo, Brasil"
"Alameda CINCO, 174, CECOM JACARE, Cabreúva",-23.2425,-47.05889,"Jacaré, Cabreúva, São Paulo, Brasil"
"Rua MARECHAL DEODORO DA FONSECA, 240, Centro, Cabreúva",-23.3069129,-47.1334429,"Centro, Cabreúva, São Paulo, Brasil"
"Rua Marilia, 60, Vila Hortolandia, Jundiaí",-23.169235,-46.909441,"Hortolândia, Jundiaí, São Paulo, Brasil"
"Rua MARANHAO, 256, Jacaré, Cabreúva",-23.2495822,-47.0561778,"Jacaré, Cabreúva, São Paulo, Brasil"
"Avenida BENEDITO CASTILHO DE ANDRADE, 1300, Parque Residencial Eloy Chaves, Jundiaí",-0.06289,-49.64787,"Chaves, Pará, Brasil"
"Rua DO CARACOL, 500, JACARE, Cabreúva",-23.2494164,-47.0525913,"Jacaré, Cabreúva, São Paulo, Brasil"
"Avenida JOSE TONOLI, 336, Centro, Itupeva",-23.15306,-47.05778,"Parque Amarylis, Itupeva, São Paulo, Brasil"
"Praça SÃO PAULO, 97, Centro, Itupeva",-23.1521891,-47.0570231,"Jardim Alegria, Itupeva, São Paulo, Brasil"
"Rua JOÃO SABIO GONÇALVES, 132, Jardim Ana Luiza, Itupeva",-23.1582683,-47.0422031,"Jardim Pacaembu, Itupeva, São Paulo, Brasil"
"Rua VICENTE TONOLLI, 114, Monte Serrat, Itupeva",-23.15306,-47.05778,"Parque Amarylis, Itupeva, São Paulo, Brasil"
"Avenida FRANCISCO NOBRE, 100, Medeiros, Jundiaí",-23.1858836,-46.9850104,"Medeiros, Jundiaí, São Paulo, Brasil"
"Rodovia MARIO TONOLI, 177, EST.HIDRO MINERAL SANTA ELIZA, Itupeva",-23.15306,-47.05778,"Parque Amarylis, Itupeva, São Paulo, Brasil"
"Rua ALFREDO CARLOS SAO JOSE, 47, JD EUROPA, Itupeva",-23.15306,-47.05778,"Parque Amarylis, Itupeva, São Paulo, Brasil"
"Rua MERDADO ZACHI, 44, VILA SAO JOAO, Itupeva",-23.1510101,-47.0506607,"Vila São João, Itupeva, São Paulo, Brasil"
"Rua ALEXANDRINA MATHIAS DE OLIVEIRA, 77, PARQUE DAS HORTENSIAS, Itupeva",-23.15306,-47.05778,"Parque Amarylis, Itupeva, São Paulo, Brasil"
"Rua SANTA CLARA, 175, Residencial Santo Antonio, Itupeva",-23.1624922,-47.0454896,"Residencial Santo Antonio Dois, Itupeva, São Paulo, Brasil"
"Rua ANGELO STECK, 41, VILA NOVA, Louveira",-23.0869505,-46.9515972,"Vilaggio Del Fiori, Louveira, São Paulo, Brasil"
"Rua DOUTOR ALBERTO GALLO, 226, CIDADE UNIVERSITARIA II, Campinas",-22.90556,-47.06083,"Centro, Campinas, São Paulo, Brasil"
"Avenida ANTONIO STECK, 129, SAGRADO CORACAO DE JESUS, Louveira",-23.08639,-46.95056,"Vilaggio Del Fiori, Louveira, São Paulo, Brasil"
"Avenida DR ARLINDO JOAQUIM DE LEMOS, 1421, VL LEMOS, Campinas",-22.90556,-47.06083,"Centro, Campinas, São Paulo, Brasil"
"Avenida ARNALDO BIAGIOLLI, 151, Pinheirinho, Vinhedo",-23.02972,-46.97528,"Centro, Vinhedo, São Paulo, Brasil"
"Rua SANTA CRUZ (JD.SANTA ROSA), 500, SANTA ROSA, Vinhedo",-23.02972,-46.97528,"Centro, Vinhedo, São Paulo, Brasil"
"Avenida Benedito Storani, 762, Residencial Aquario, Vinhedo",-23.02972,-46.97528,"Centro, Vinhedo, São Paulo, Brasil"
"Estrada MUNICIPAL DA CAPELA, S/N, VISTA ALEGRE, Vinhedo",-23.02972,-46.97528,"Centro, Vinhedo, São Paulo, Brasil"
"Estrada Da Boiada, 730, Marambaia, Vinhedo",-23.0363831,-46.9865407,"Centro, Vinhedo, São Paulo, Brasil"
"Rua TREZE DE MAIO, 1050, Vila Olivo, Valinhos",-22.9736086,-46.9928558,"Jardim Ribeiro, Valinhos, São Paulo, Brasil"
"Avenida ROSA BELMIRO RAMOS, 92, Ortizes, Valinhos",-22.9780597,-46.9888118,"Bom Retiro, Valinhos, São Paulo, Brasil"
"Rua JOSE CARLOS FERRARI, 79, Residencial Santa Maria, Valinhos",-22.9428235,-46.9990431,"Jardim Santa Maria, Valinhos, São Paulo, Brasil"
"Avenida PROFESSOR MANOEL JOSE PEDROSO, 340, Parque Bahia, Cotia",-23.6081727,-46.9216154,"Parque Bahia, Cotia, São Paulo, Brasil"
"Rodovia RAPOSO TAVARES, S/N, Lageadinho, Cotia",-23.5895637,-46.8176687,"Jardim Guerreiro, Cotia, São Paulo, Brasil"
"Rua VICENTE CELESTINO, 184, Parque Mirante da Mata, Cotia",-23.6176627,-46.9548532,"Parque Mirante da Mata, Cotia, São Paulo, Brasil"
"Estrada DA AGUA ESPRAIADA, 2713, CHAC.TROPICAL (CAUCAIA ALTO), Cotia",-23.60389,-46.91917,"Jardim Dinorah, Cotia, São Paulo, Brasil"
"Avenida NOSSA SENHORA DO CARMO, 2058, Carmo Messias, Ibiúna",-23.741308,-47.0546442,"Cachoeira, Ibiúna, São Paulo, Brasil"
"Estrada MORRO GRANDE, 1895, Jardim Isis, Cotia",-23.6362615,-46.9549798,"Jardim Isis, Cotia, São Paulo, Brasil"
"Rua QUINZE DE PIRACICABA, 19, Jardim Sandra, Cotia",-23.60389,-46.91917,"Jardim Dinorah, Cotia, São Paulo, Brasil"
